city,state,latitude,longitude,source
CADOTT,WI,44.949802,-91.153760,census
CAIRO,GA,30.879229,-84.205505,census
CAIRO,NE,41.004776,-98.600552,census
CALDWELL,ID,43.645880,-116.659336,census
CALDWELL,OH,39.746354,-81.512976,census
CALDWELL,TX,30.531269,-96.698892,census
CALEDONIA,MI,42.794743,-85.517100,census
CALEDONIA,MN,43.634127,-91.500399,census
CALERA,AL,33.122319,-86.745644,census
CALERA,OK,33.930829,-96.429060,census
CALEXICO,CA,32.684859,-115.494738,census
CALHOUN,GA,34.499792,-84.933058,census
CALHOUN,LA,32.515309,-92.353926,census
CALIFORNIA,MO,38.630306,-92.567079,census
CALLAHAN,FL,30.565441,-81.831911,census
CALMAR,IA,43.181104,-91.867965,census
CALUMET,OK,35.601385,-98.124786,census
CALVERT CITY,KY,37.046422,-88.395537,census
CAMBRIDGE,MN,45.560772,-93.227702,census
CAMBRIDGE,NE,40.284302,-100.165800,census
CAMBRIDGE,OH,40.021047,-81.585548,census
CAMBRIDGE CITY,IN,39.812084,-85.170820,census
CAMERON,MO,39.744499,-94.232324,census
CAMERON,TX,30.860768,-96.976198,census
CAMERON,WI,45.403592,-91.739750,census
CAMILLA,GA,31.234057,-84.209563,census
CAMP DOUGLAS,WI,43.919721,-90.269703,census
CAMPBELL,NY,42.235043,-77.193694,census
CAMPBELLSVILLE,KY,37.343920,-85.352238,census
CAMPOBELLO,SC,35.125658,-82.149276,census
CANAAN,ME,44.763060,-69.559652,nominatim
CANAAN,NY,42.411843,-73.449609,nominatim
CANADIAN,TX,35.909678,-100.383880,census
CANAJOHARIE,NY,42.899080,-74.567869,census
CANASTOTA,NY,43.084149,-75.755495,census
CANDIA,NH,43.077916,-71.277237,nominatim
CANDLER,NC,35.544436,-82.683803,nominatim
CANDOR,NC,35.296389,-79.732521,census
CANEYVILLE,KY,37.422980,-86.499732,census
CANON CITY,CO,38.442251,-105.234880,nominatim
CANTON,MI,32.612602,-90.036751,nominatim
CANTON,MO,40.129859,-91.525843,census
CANTON,MS,32.598419,-90.032191,census
CANTON,OH,40.807650,-81.367228,census
CANTON,TX,32.554245,-95.863534,census
CANUTILLO,TX,31.918485,-106.601062,census
CANYON,TX,34.990291,-101.918951,census
CAPAC,MI,43.003889,-82.922280,census
CAPE CHARLES,VA,37.249726,-76.014156,census
CAPITOL HEIGHTS,MD,38.876687,-76.907569,census
CARDWELL,MO,36.047480,-90.290905,census
CAREY,OH,40.945814,-83.386095,census
CARLIN,NV,40.719013,-116.108045,census
CARLISLE,AR,34.795425,-91.740494,census
CARLISLE,IN,38.960778,-87.401424,census
CARLISLE,PA,40.199994,-77.204149,census
CARLSBAD,NM,32.400790,-104.241012,census
CARLSTADT,NJ,40.826431,-74.062335,census
CARLTON,MN,46.655769,-92.430397,census
CARNESVILLE,GA,34.375266,-83.227532,census
CARO,MI,43.489303,-83.401744,census
CAROL STREAM,IL,41.920346,-88.133223,census
CARPIO,ND,48.443445,-101.716317,census
CARRINGTON,ND,47.452851,-99.131033,census
CARRIZO SPRINGS,TX,28.525843,-99.859255,census
CARRIZOZO,NM,33.643341,-105.841132,census
CARROLL,IA,42.070267,-94.864283,census
CARROLL,OH,39.802585,-82.706178,census
CARROLLTON,IL,39.294493,-90.406894,census
CARROLLTON,OH,40.578747,-81.090820,census
CARROLLTON,TX,32.989386,-96.899940,census
CARSON CITY,NV,39.153060,-119.747368,census
CARTERET,NJ,40.583790,-74.227457,census
CARTERSVILLE,GA,34.164579,-84.801704,census
CARTHAGE,MO,37.150605,-94.327868,census
CARTHAGE,MS,32.744227,-89.533452,census
CARTHAGE,TX,32.152046,-94.337111,census
CASA BLANCA,NM,35.046318,-107.471394,nominatim
CASCO,MI,42.752532,-82.671584,nominatim
CASEY,IL,39.305420,-87.985307,census
CASPER,WY,42.842120,-106.321282,census
CASSELTON,ND,46.896365,-97.212604,census
CASTLE CREEK,NY,42.227575,-75.918253,nominatim
CASTLE DALE,UT,39.221661,-111.022676,census
CASTLE ROCK,WA,46.271858,-122.903925,census
CASTLETON ON HUDSON,NY,42.530813,-73.755302,nominatim
CASTROVILLE,TX,29.359864,-98.854749,census
CATARINA,TX,28.350178,-99.615258,census
CATLETTSBURG,KY,38.417041,-82.603017,census
CAVE CITY,AR,35.948169,-91.546750,census
CAYCE,SC,33.950498,-81.039806,census
CAYUTA,NY,42.281741,-76.696894,nominatim
CEDAR CITY,UT,37.683767,-113.095484,census
CEDAR CREEK,TX,30.082341,-97.511120,census
CEDAR FALLS,IA,42.519070,-92.454009,census
CEDAR GROVE,TN,36.251720,-86.527772,nominatim
CEDAR GROVE,WI,43.568247,-87.822969,census
CEDAR RAPIDS,IA,41.965850,-91.678901,census
CEDAR SPRINGS,MI,43.220424,-85.554367,census
CENTER,MO,39.509438,-91.529335,census
CENTER POINT,IA,42.184604,-91.779891,census
CENTERVILLE,IA,40.729839,-92.872033,census
CENTERVILLE,TX,31.258315,-95.979399,census
CENTRAL CITY,NE,41.113043,-98.000334,census
CENTRAL SQUARE,NY,43.285986,-76.141879,census
CENTRE,AL,34.153059,-85.671683,census
CENTREVILLE,MD,39.042265,-76.062538,census
CHADRON,NE,42.825975,-103.002478,census
CHALMETTE,LA,29.944015,-89.966005,census
CHAMBERLAIN,SD,43.798663,-99.329584,census
CHAMBERSBURG,PA,39.931433,-77.655642,census
CHAMPAIGN,IL,40.114099,-88.274619,census
CHAMPION,MI,46.513825,-87.963468,nominatim
CHAMPLAIN,NY,44.988281,-73.432429,census
CHANDLER,AZ,33.282765,-111.851819,census
CHANDLER,OK,35.712784,-96.836198,census
CHANNAHON,IL,41.425279,-88.266579,census
CHANTILLY,VA,38.889180,-77.442088,census
CHANUTE,KS,37.669661,-95.464162,census
